,FA anterior thalamic radiation l,FA anterior thalamic radiation r,FA corticospinal tract l,FA corticospinal tract r,FA cingulum,FA cingulum,FA cingulum,FA cingulum,FA forceps major,FA forceps minor,FA inferior fronto-occipital fasciculus l,FA inferior fronto-occipital fasciculus r,FA inferior longitudinal fasciculus l,FA inferior longitudinal fasciculus r,FA superior longitudinal fasciculus l,FA superior longitudinal fasciculus r,FA uncinate fasciculus l,FA uncinate fasciculus r,FA superior longitudinal fasciculus,FA superior longitudinal fasciculus,0,AD anterior thalamic radiation l,AD anterior thalamic radiation r,AD corticospinal tract l,AD corticospinal tract r,AD cingulum,AD cingulum,AD cingulum,AD cingulum,AD forceps major,AD forceps minor,AD inferior fronto-occipital fasciculus l,AD inferior fronto-occipital fasciculus r,AD inferior longitudinal fasciculus l,AD inferior longitudinal fasciculus r,AD superior longitudinal fasciculus l,AD superior longitudinal fasciculus r,AD uncinate fasciculus l,AD uncinate fasciculus r,AD superior longitudinal fasciculus,AD superior longitudinal fasciculus,0,RD anterior thalamic radiation l,RD anterior thalamic radiation r,RD corticospinal tract l,RD corticospinal tract r,RD cingulum,RD cingulum,RD cingulum,RD cingulum,RD forceps major,RD forceps minor,RD inferior fronto-occipital fasciculus l,RD inferior fronto-occipital fasciculus r,RD inferior longitudinal fasciculus l,RD inferior longitudinal fasciculus r,RD superior longitudinal fasciculus l,RD superior longitudinal fasciculus r,RD uncinate fasciculus l,RD uncinate fasciculus r,RD superior longitudinal fasciculus,RD superior longitudinal fasciculus,0,MD anterior thalamic radiation l,MD anterior thalamic radiation r,MD corticospinal tract l,MD corticospinal tract r,MD cingulum,MD cingulum,MD cingulum,MD cingulum,MD forceps major,MD forceps minor,MD inferior fronto-occipital fasciculus l,MD inferior fronto-occipital fasciculus r,MD inferior longitudinal fasciculus l,MD inferior longitudinal fasciculus r,MD superior longitudinal fasciculus l,MD superior longitudinal fasciculus r,MD uncinate fasciculus l,MD uncinate fasciculus r,MD superior longitudinal fasciculus,MD superior longitudinal fasciculus
0,0.422402442,0.375751585,0.537379265,0.553511739,0.530974567,0.517460227,0.355485827,0.35537219,0.422757298,0.491441518,0.463110536,0.453685075,0.417651772,0.433297962,0.483811855,0.468731374,0.400981843,0.422434807,0.446894735,0.533082366,0,1077.421631,1146.780273,1356.066406,1421.058105,1111.839844,1071.045044,1135.264771,1234.813721,1144.621216,1102.079224,1121.685791,1194.85376,1106.202148,1147.005249,1120.652466,1095.061157,1042.670166,1086.07373,1440.80835,1553.841431,0,614.7891846,656.2687988,585.7052612,560.6011963,642.2490845,621.0562744,754.3358154,756.5110474,636.5484009,607.3605957,636.6481934,610.8118896,652.5332031,654.1044922,582.9373169,563.8441772,780.791687,778.3079834,597.0834961,572.6349487,0,787.5806885,819.3709717,787.6557007,776.0030518,793.1860352,799.0362549,855.8724365,900.5249634,823.9193115,796.8761597,819.6442871,814.9661255,809.8755493,819.2255859,754.0512695,755.9588623,884.2650757,859.5136719,757.1893921,766.4563599
0,0.315201968,0.331268728,0.515050113,0.541718721,0.437742084,0.36387071,0.342558265,0.371355027,0.426813543,0.500921547,0.379109979,0.395963252,0.42938292,0.430151612,0.400878698,0.454285026,0.39957425,0.409242988,0.395466477,0.493291944,0,1129.505981,1608.196167,1472.454834,1291.598267,1742.019775,1713.15918,1091.443848,2111.783691,1202.932373,1372.947021,1161.928955,1307.394531,1241.89624,1307.867188,1200.755737,1266.662598,1352.65332,1191.493042,1437.517334,1896.078613,0,704.6557007,760.7751465,678.1153564,655.2786255,828.6931152,787.5475464,747.8817139,743.2108154,704.2277832,824.8182983,726.3424683,677.7037964,740.4663696,719.7263184,707.8515625,714.1442871,906.9688721,825.677124,667.546936,674.4591675,0,849.4980469,851.3930664,861.9996948,853.6707153,872.0046387,872.8474731,880.0397339,892.7184448,859.1432495,879.5933228,877.878418,877.2097778,879.4594116,885.3146973,836.9049072,839.3752441,1156.836914,947.788147,841.4174805,847.7012329
0,0.433993638,0.405436963,0.512234747,0.530379295,0.549717546,0.48314181,0.357929349,0.349545568,0.473001063,0.532251477,0.497196078,0.45589599,0.457176089,0.449593902,0.515946984,0.50302124,0.479381919,0.522205293,0.525865197,0.46995905,0,1092.755981,1111.303467,1259.682495,1387.175659,1122.677368,1084.083618,1578.111084,1379.141724,1131.625244,1083.097046,1245.805298,1242.457275,1195.756104,1144.815918,1091.488281,1051.204712,1181.296143,1138.626831,1387.338257,1504.557861,0,594.7850342,570.7159424,537.5029297,505.1413879,608.822876,604.0673218,702.1669922,688.9144287,575.7857056,604.694458,547.4454346,608.5507813,629.177002,639.2799683,550.7248535,538.4723511,633.8447876,745.7449951,495.086853,601.8471069,0,757.796875,738.8068237,736.0371094,723.1317139,833.965332,727.347168,892.8337402,809.3492432,794.1742554,795.4869385,791.9240723,799.7288208,808.8295898,781.9953613,728.189209,730.6329956,836.9633179,871.5134888,787.4296875,748.9046021
0,0.353723019,0.331840068,0.578046322,0.545633197,0.423227757,0.432623923,0.353795767,0.301679015,0.548060358,0.491088748,0.457730383,0.45535624,0.450994074,0.431371927,0.421502203,0.438342452,0.428943276,0.406008571,0.455731213,0.481223315,0,1125.072754,1472.777954,1442.982788,1335.909668,1266.096436,1614.503296,1121.089722,1175.079712,1281.197998,1254.809692,1237.650635,1301.816162,1260.963623,1314.039063,1165.415894,1163.965088,1390.071899,1154.685547,1189.772095,1473.903687,0,746.277832,784.5551758,836.645752,649.763916,667.4543457,726.3793945,933.2674561,1092.578613,873.7261963,797.4233398,793.1895752,777.5234375,795.5371704,766.2303467,782.043457,622.8781738,830.9664917,877.5545654,769.0957031,603.6513672,0,883.2597656,914.1386719,951.0232544,1177.563232,843.0310059,1027.726807,1029.499512,1373.53125,1038.928589,916.8702393,877.8338013,898.2474365,873.4317627,872.538269,889.6057129,924.7978516,902.5914307,895.4710083,883.1431885,899.2695313
0,0.377494812,0.350843072,0.523636758,0.54552424,0.51228404,0.48313871,0.42256397,0.458547354,0.706539154,0.506782293,0.464288414,0.430003881,0.468729079,0.497547805,0.464239448,0.449537635,0.47958374,0.491674662,0.546490133,0.601988137,0,1115.148682,1102.233887,1296.410645,1396.175781,1130.34375,1164.687256,1118.752686,1101.930664,1277.379639,1193.065796,1316.663208,1313.195557,1339.369629,1313.487427,1193.473145,1152.353027,1382.61499,1134.678467,1493.167969,1500.701172,0,653.4724731,677.5742188,587.2387695,591.4005127,628.0863037,692.6813965,679.7055664,640.2251587,546.3986816,645.0221558,583.6929932,633.642334,630.9506836,564.6918945,598.0356445,567.1744385,686.8880005,838.3458252,525.2542725,442.6160278,0,825.7104492,830.3521729,792.7249146,802.1430664,828.736084,819.4005127,828.9937744,816.1164551,818.7491455,849.2727051,837.496582,835.8676147,824.9631958,792.0078125,776.2774048,767.3043213,882.8586426,928.8435669,781.8353882,719.9914551
0,0.358776301,0.329035938,0.533450603,0.54658246,0.528947175,0.512129068,0.29498297,0.333978534,0.443271995,0.465113699,0.426248521,0.434622586,0.403456211,0.409913033,0.447049499,0.431430578,0.442021191,0.415402681,0.50120306,0.501515746,0,1148.875732,1161.133545,1398.426025,1268.651001,1173.027832,1098.77771,1558.518188,1490.16626,1204.403564,1180.900757,1151.060303,1238.455566,1084.256348,1130.391113,1155.724854,1172.008911,1113.220459,1065.911621,1354.727173,1579.054321,0,649.8199463,682.9937134,588.1803589,548.6750488,678.8760986,669.9656982,735.4771729,707.6634521,666.1293945,651.3552246,639.5162354,652.1566162,710.9102783,664.6778564,629.1008911,604.4608154,774.204834,772.1655273,593.5330811,571.4669189,0,813.5789185,842.1484375,809.350769,794.8720703,830.3478394,797.1113281,840.0852661,851.364563,847.7705688,846.8414917,848.1936646,842.7512817,852.1173096,820.0800781,805.4594727,776.3831787,888.9328613,888.9588013,780.7520142,770.9290161
0,0.371319085,0.339007795,0.529225588,0.552055776,0.547085345,0.476852864,0.333812952,0.402319491,0.579968214,0.5600335,0.465306014,0.439116895,0.465993136,0.48407039,0.438323379,0.485209167,0.425498158,0.423306346,0.442056298,0.532177031,0,1063.492188,1175.139648,1313.188232,1357.255249,951.8061523,905.086853,1214.329712,1142.874023,1290.685791,1052.789429,1221.50061,1258.576172,1284.553467,1283.741211,1097.126221,1107.908447,1198.315796,1267.071045,1372.219727,1380.271362,0,669.4093018,680.1176758,579.0063477,542.7263184,725.5137939,686.112854,708.5328369,698.4951782,591.9796143,717.0906982,644.3494873,626.5640259,664.0849609,646.1513062,590.3202515,586.2579346,875.5263672,718.5614624,410.1325378,440.5913086,0,812.2474365,836.0419922,770.3203125,768.416626,820.3408203,758.0710449,814.2091675,818.0137329,812.1852417,814.4846191,841.6401978,827.3847046,832.7449341,828.3427734,754.461853,734.5324707,962.8429565,862.4900513,812.6010132,782.3039551
0,0.36674425,0.357850313,0.525057316,0.533676922,0.483032107,0.461146504,0.297137171,0.332729489,0.396772921,0.507362306,0.458011925,0.442453146,0.489225686,0.495162964,0.461218894,0.439087689,0.367304325,0.386840641,0.484602213,0.515394628,0,1188.959229,1178.719727,1353.123535,1475.858887,1487.999512,1272.869629,1449.585938,1219.419189,1156.895874,1322.080322,1217.628418,1194.265381,1213.027222,1226.312012,1161.501221,1126.630249,1178.894775,1265.412598,1468.703369,1565.05249,0,738.8121948,696.244751,694.2851563,752.3632813,663.7932129,619.0822144,1269.942505,837.1223755,823.9631348,785.9117432,736.7653198,758.8173828,743.848938,701.6064453,591.3701172,700.3328857,765.3959961,824.2491455,730.0493164,819.0324707,0,937.9692383,790.6416626,837.9302979,798.7807007,1088.598999,833.487793,1666.445801,1218.996094,918.5636597,863.661499,857.0526123,839.9094238,854.6088867,796.6127319,764.3695679,767.0830078,874.2373047,886.4905396,916.4209595,797.3384399
0,0.34703359,0.328653991,0.525120437,0.542624593,0.491051793,0.44859612,0.341828197,0.370253831,0.366987884,0.484689981,0.431139439,0.415640503,0.401606798,0.414238155,0.44414857,0.433622003,0.403720677,0.403414458,0.455597878,0.414414436,0,1149.308105,1172.40979,1393.101563,1374.794556,1105.13147,1134.326782,1220.876953,1151.997559,1154.855957,1132.10022,1240.340332,1222.617065,1248.290283,1224.442139,1188.654053,1210.920776,1119.184814,1152.56604,1557.422607,1483.176758,0,692.3695068,728.9057007,594.0837402,617.8605957,660.6290283,673.1904297,748.9659424,747.8850098,712.7387695,653.7370605,686.1016846,701.8468018,700.4415283,693.7504272,630.9873657,606.2936401,799.0187378,805.4063721,655.248291,594.2940674,0,854.9798584,871.0504761,813.1715088,835.3867188,815.2074585,821.0535278,935.4812012,918.7183228,875.3891602,870.9239502,875.4135132,878.3184814,858.4573364,836.0935669,798.357666,797.0373535,932.8607178,926.3105469,848.548645,792.244751
0,0.3755337,0.359052062,0.557668388,0.534092665,0.42082116,0.425437123,0.276477098,0.278007209,0.446377873,0.503065884,0.4427616,0.385430485,0.452901632,0.444188386,0.471278787,0.427076906,0.274940372,0.417515755,0.606006324,0.635946751,0,1209.52417,1447.46167,1512.948364,1367.632324,1653.564697,1646.416138,1428.330322,1412.340942,1223.713867,1197.483154,1188.126343,1178.333008,1203.321899,1222.209839,1218.24231,1178.793701,1352.569214,1143.412842,1412.981812,1431.984619,0,746.5769653,866.9193726,797.508606,1019.322754,796.0220947,994.8498535,1357.589111,1228.940552,774.3314819,814.6088257,782.512207,807.298584,767.3278809,793.7337646,752.0352783,722.3820801,796.9273682,802.1380005,713.7605591,808.7456665,0,832.1658325,1009.105652,833.1704102,949.9085083,811.2680664,1150.799194,1237.05249,1631.03479,876.7678223,919.4736328,848.7748413,909.0595093,839.2163086,853.1062622,830.1102905,883.3851318,917.6304932,874.0219727,849.6986084,989.7198486
